"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5"
"1",1,100,1000,180,1.25,1.27033077049201,0.41107428495417,3.53317330873208
"2",1,100,1000,180,1.5,3.07359766814792,0.548620949214292,15.0668808809611
"3",1,100,1000,180,2,2.00604826252158,0.431754840014508,8.6948903638518
"4",1,100,1000,180,2.8,3.04781321021847,0.644101117637145,16.0898360092029
"5",1,100,1000,180,3.5,3.42236810456754,0.958572524687029,11.7137705781115
"6",1,1000,1000,180,1.25,1.14844162847127,0.786377810054619,1.61780011985978
"7",1,1000,1000,180,1.5,1.59684755352056,1.15451977949027,2.14392209741227
"8",1,1000,1000,180,2,2.15645348722963,1.45980547294891,3.05269606784977
"9",1,1000,1000,180,2.8,2.61351979629457,1.84591675429939,3.60842186894378
"10",1,1000,1000,180,3.5,3.93950301842803,2.53366717401483,6.29482741294586
"11",1,10000,1000,180,1.25,1.10692901599876,0.985552826554267,1.21982333474558
"12",1,10000,1000,180,1.5,1.4687083824944,1.30941555806577,1.63161804852047
"13",1,10000,1000,180,2,1.97949357126651,1.7822390258556,2.21256333015766
"14",1,10000,1000,180,2.8,2.76816498232981,2.48099213634382,3.0647341335388
"15",1,10000,1000,180,3.5,3.34423916611027,2.9373443487279,3.75262422309122
