path,n_patients,weight_function,n_bootstraps,nknots,cutoff,constraint,computation_time,normalization
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps1knots_Right,100,exponential_weight,1000,1,180,Right,6.6240434646606445,1
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps1knots_None,100,exponential_weight,1000,1,180,None,7.1020188331604,1
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps2knots_Right,100,exponential_weight,1000,2,180,Right,6.160151720046997,1
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps2knots_None,100,exponential_weight,1000,2,180,None,8.244462251663208,1
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps3knots_Right,100,exponential_weight,1000,3,180,Right,7.191986799240112,1
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps3knots_None,100,exponential_weight,1000,3,180,None,9.189705848693848,1
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps1knots_Right,500,exponential_weight,1000,1,180,Right,7.954058885574341,1
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps1knots_None,500,exponential_weight,1000,1,180,None,11.415234804153442,1
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps2knots_Right,500,exponential_weight,1000,2,180,Right,9.238436698913574,1
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps2knots_None,500,exponential_weight,1000,2,180,None,12.58342432975769,1
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps3knots_Right,500,exponential_weight,1000,3,180,Right,11.09294319152832,1
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps3knots_None,500,exponential_weight,1000,3,180,None,14.288862228393555,1
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps1knots_Right,1000,exponential_weight,1000,1,180,Right,12.61042332649231,1
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps1knots_None,1000,exponential_weight,1000,1,180,None,17.92571187019348,1
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps2knots_Right,1000,exponential_weight,1000,2,180,Right,14.956356048583984,1
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps2knots_None,1000,exponential_weight,1000,2,180,None,20.46704077720642,1
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps3knots_Right,1000,exponential_weight,1000,3,180,Right,17.82052230834961,1
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps3knots_None,1000,exponential_weight,1000,3,180,None,22.58185362815857,1
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps1knots_Right,5000,exponential_weight,1000,1,180,Right,35.09621524810791,1
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps1knots_None,5000,exponential_weight,1000,1,180,None,48.96715068817139,1
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps2knots_Right,5000,exponential_weight,1000,2,180,Right,42.0566930770874,1
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps2knots_None,5000,exponential_weight,1000,2,180,None,56.20155644416809,1
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps3knots_Right,5000,exponential_weight,1000,3,180,Right,48.77587366104126,1
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps3knots_None,5000,exponential_weight,1000,3,180,None,62.01489067077637,1
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps1knots_Right,10000,exponential_weight,1000,1,180,Right,286.2310938835144,1
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps1knots_None,10000,exponential_weight,1000,1,180,None,404.98200392723083,1
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps2knots_Right,10000,exponential_weight,1000,2,180,Right,343.99764251708984,1
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps2knots_None,10000,exponential_weight,1000,2,180,None,467.1316831111908,1
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps3knots_Right,10000,exponential_weight,1000,3,180,Right,404.5602762699127,1
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps3knots_None,10000,exponential_weight,1000,3,180,None,522.2718458175659,1
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps1knots_Right,50000,exponential_weight,1000,1,180,Right,990.3148164749146,1
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps1knots_None,50000,exponential_weight,1000,1,180,None,1416.6514873504639,1
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps2knots_Right,50000,exponential_weight,1000,2,180,Right,1203.774483203888,1
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps2knots_None,50000,exponential_weight,1000,2,180,None,1630.1483268737793,1
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps3knots_Right,50000,exponential_weight,1000,3,180,Right,1411.3507018089294,1
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps3knots_None,50000,exponential_weight,1000,3,180,None,1841.8435051441193,1
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps1knots_Right,100000,exponential_weight,1000,1,180,Right,1952.570872783661,1
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps1knots_None,100000,exponential_weight,1000,1,180,None,2796.5425503253937,1
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps2knots_Right,100000,exponential_weight,1000,2,180,Right,2373.809666633606,1
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps2knots_None,100000,exponential_weight,1000,2,180,None,3225.796408176422,1
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps3knots_Right,100000,exponential_weight,1000,3,180,Right,2804.3771386146545,1
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps3knots_None,100000,exponential_weight,1000,3,180,None,3674.5168290138245,1
